Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
655256be2a753b235fb4dd4a,5dbd7193e8add82b72d795f2,APPROVED,2023-11-13T17:03:10.467000Z,2023-11-13T17:58:26.954000Z,2023-11-20T15:34:32.768000Z,2023-11-13T17:58:27.368113Z,3317,CHXXFLVG,1040,36,Female,White,Switzerland,Switzerland,United States,Italian,No,Unemployed (and job seeking)
655256d723f9b3af9350881e,6171b75b3c2b59f8487b4814,APPROVED,2023-11-13T17:03:36.876000Z,2023-11-13T17:39:14.145000Z,2023-11-20T16:08:07.805000Z,2023-11-13T17:39:14.587786Z,2138,CHXXFLVG,276,28,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Part-Time
655256e29524dd2492de156f,5ecd39136524360702550183,APPROVED,2023-11-13T17:03:30.611000Z,2023-11-13T17:48:07.805000Z,2023-11-20T16:06:32.655000Z,2023-11-13T17:48:08.281433Z,2678,CHXXFLVG,188,31,Female,White,Russian Federation,Israel,Israel,Russian,No,Part-Time
655256ed90426177df38f848,5f511bec133110302c132ada,APPROVED,2023-11-13T17:04:39.747000Z,2023-11-13T17:05:14.051000Z,2023-11-20T15:52:42.667000Z,2023-11-13T17:05:14.558548Z,35,CHXXFLVG,208,24,Female,Black,South Africa,South Africa,South Africa,Other,No,Unemployed (and job seeking)
655256f14318afbf1d441438,6081342ebd43daf29472c5e6,APPROVED,2023-11-13T17:03:45.210000Z,2023-11-13T17:41:53.563000Z,2023-11-20T16:11:23.516000Z,2023-11-13T17:41:54.121133Z,2289,CHXXFLVG,97,28,Female,White,Romania,Italy,Romania,Italian,No,Full-Time
655257fcdfd99b4965dde4dc,5ca08267441b4700179b38d9,APPROVED,2023-11-13T17:08:37.608000Z,2023-11-13T17:08:55.006000Z,2023-11-20T15:27:41.680000Z,2023-11-13T17:08:55.502395Z,18,CHXXFLVG,52,30,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Other
655264d58ef91d19af24bf1f,646e77b7e955663ad7597acc,APPROVED,2023-11-13T18:04:14.959000Z,2023-11-13T18:26:41.818000Z,2023-11-20T16:13:51.618000Z,2023-11-13T18:26:42.295949Z,1347,CHXXFLVG,90,24,Female,Asian,Netherlands,Netherlands,Netherlands,Dutch,No,Unemployed (and job seeking)
655277aac396c0c75dcf0115,616c02aa268eef1a5df08f1e,APPROVED,2023-11-13T19:23:33.083000Z,2023-11-13T19:25:52.812000Z,2023-11-20T15:49:22.099000Z,2023-11-13T19:25:53.299149Z,140,CHXXFLVG,157,24,Female,Mixed,South Africa,South Africa,South Africa,Afrikaans,Yes,Part-Time
65527d5b90426177df38fd54,60783c9fc85e24b9cca661cd,APPROVED,2023-11-13T19:48:24.400000Z,2023-11-13T20:03:37.447000Z,2023-11-20T15:47:16.429000Z,2023-11-13T20:03:37.956817Z,914,CHXXFLVG,162,31,Male,White,Greece,Greece,Greece,Greek,No,Unemployed (and job seeking)
657059d9f52bef5e0b00e575,5761654ab8a48000064fcf48,APPROVED,2023-12-06T11:35:00.058000Z,2023-12-07T16:37:59.518000Z,2023-12-07T16:37:59.948000Z,2024-01-15T13:08:17.381764Z,104580,Manual Completion,210,28,Male,White,France,France,France,French,No,Full-Time
652fcacfa47136b7c4467275,605212ecea6f5a8c7909f293,APPROVED,2023-10-18T12:08:47.026000Z,2023-10-18T12:29:56.699000Z,2023-11-01T16:27:20.351000Z,2023-10-18T12:29:57.191062Z,1270,CMALSFGI,48,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
653132d9620704c9bb792480,6519b2530ce2bb3eb5ccf910,APPROVED,2023-10-19T13:44:57.439000Z,2023-10-19T14:02:57.363000Z,2023-11-01T16:27:23.042000Z,2023-10-19T14:02:57.916982Z,1080,CHXXFLVG,6,21,Female,Mixed,United Arab Emirates,Hungary,Jordan,English,Yes,Other
