Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656f3c58710029002e093074,5c43750c26217400018c1d69,APPROVED,2023-12-05T15:07:22.221000Z,2023-12-05T15:16:26.819000Z,2023-12-06T11:00:58.815000Z,2023-12-05T15:16:27.279705Z,545,CHXXFLVG,914,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
656f494263964e8493a68c29,60c0ed7d2fbe3e53bca9866a,APPROVED,2023-12-05T16:01:22.254000Z,2023-12-05T16:22:50.296000Z,2023-12-06T11:06:32.638000Z,2023-12-05T16:22:50.725250Z,1289,CHXXFLVG,143,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
656f813bf9464cb4dbe59803,610a5f883d6841e65838f97d,APPROVED,2023-12-05T19:59:55.310000Z,2023-12-05T20:00:23.819000Z,2023-12-06T11:12:29.079000Z,2023-12-05T20:00:25.104895Z,29,CHXXFLVG,203,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
65706d038b25e8ab178d5ee1,64e8a9da9077e59fb9173016,APPROVED,2023-12-06T12:46:05.645000Z,2023-12-06T13:26:29.823000Z,2023-12-07T16:47:13.618000Z,2023-12-06T13:26:31.280843Z,2425,CHXXFLVG,86,28,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
6576d31a518a6ec1b477942c,5fdcad62eed16d2504b27f5a,APPROVED,2023-12-11T09:15:24.952000Z,2023-12-11T09:16:48.512000Z,2023-12-12T11:33:57.419000Z,2023-12-11T09:16:49.336746Z,84,CHXXFLVG,167,20,Female,Black,Congo the Democratic Republic of the,South Africa,Congo the Democratic Republic of the,English,Yes,Part-Time
6576da5337d58491ded56a6d,609e5698a6b5c3ff5a7632bc,APPROVED,2023-12-11T09:46:10.818000Z,2023-12-11T10:17:00.926000Z,2023-12-12T11:43:14.338000Z,2023-12-11T10:17:01.395395Z,1851,CHXXFLVG,375,27,Female,White,Italy,Portugal,Portugal,Portuguese,Yes,Part-Time
6576e4ed6cbb4cd128a24ea3,647e5f4c5b7dfbc365335f72,APPROVED,2023-12-11T10:33:18.454000Z,2023-12-11T12:10:45.464000Z,2023-12-12T12:49:37.737000Z,2023-12-11T12:10:45.934810Z,5848,NOCODE,217,54,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6576ea3f3a7d912b346ae724,5b3f242f9c2ec600014ef9fc,APPROVED,2023-12-11T10:55:10.785000Z,2023-12-11T11:38:54.549000Z,2023-12-12T11:12:33.406000Z,2023-12-11T11:38:55.074758Z,2624,CHXXFLVG,931,43,Female,White,Italy,Italy,Italy,English,No,Full-Time
6576ee79f6147ea8f67dd850,5be84b9a40b06b0001370c9f,APPROVED,2023-12-11T11:12:07.576000Z,2023-12-11T11:24:26.430000Z,2023-12-12T11:17:02.762000Z,2023-12-11T11:24:27.081224Z,739,CHXXFLVG,434,24,Female,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking)
6576f285aea172fbec5da735,5d8b66f5d189bd001a378273,APPROVED,2023-12-11T11:29:14.500000Z,2023-12-11T11:49:44.769000Z,2023-12-12T11:25:09.225000Z,2023-12-11T11:49:45.158292Z,1231,CHXXFLVG,2139,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65770472b0edee6968bb603d,5e9c3ff1cf719d151612648f,APPROVED,2023-12-11T12:46:27.840000Z,2023-12-11T13:50:11.128000Z,2023-12-12T11:29:51.640000Z,2023-12-11T13:50:11.796090Z,3824,CHXXFLVG,891,54,Female,White,Italy,Italy,Italy,Italian,No,Due to start a new job within the next month
65771ab718bfdc58397ddfce,6505e90a3ea83031f55ee535,APPROVED,2023-12-11T14:20:39.384000Z,2023-12-11T15:45:12.579000Z,2023-12-12T12:54:10.601000Z,2023-12-11T15:45:13.139430Z,5074,study error,144,50,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
65771c54083264a0848ad084,5c4b06903566570001309394,APPROVED,2023-12-11T14:30:28.481000Z,2023-12-11T14:47:52.715000Z,2023-12-12T11:21:27.883000Z,2023-12-11T14:47:53.329148Z,1045,CHXXFLVG,698,23,Female,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Full-Time
