Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sexual orientation,Cisgender and transgender,Gender,Lgbtq+,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
655b8f2047be687a6ad85c3b,58,APPROVED,2023-11-20T16:53:52.071000Z,2023-11-20T17:10:21.922000Z,2023-11-28T17:09:33.983000Z,2023-11-20T17:10:22.464152Z,990,NOCODE,423,heterosexual,No,Man (including Trans Male/Trans Man),No,44,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
655b8f6c3fccd0170a5a4d16,59,APPROVED,2023-11-20T16:55:08.321000Z,2023-11-20T17:19:48.149000Z,2023-11-28T17:09:40.083000Z,2023-11-20T17:19:48.657277Z,1480,NOCODE,262,heterosexual,No,Man (including Trans Male/Trans Man),No,33,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
655b94fe61ea8e842a11f5cc,60,APPROVED,2023-11-20T17:28:33.088000Z,2023-11-20T18:00:57.563000Z,2023-11-28T17:09:45.612000Z,2023-11-20T18:00:58.385123Z,1945,NOCODE,981,heterosexual,No,Man (including Trans Male/Trans Man),No,26,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time
655b956a318b1a1b93484433,61,APPROVED,2023-11-20T17:20:55.708000Z,2023-11-20T18:36:07.347000Z,2023-11-28T17:09:43.350000Z,2023-11-20T18:36:07.837224Z,4512,NOCODE,1320,heterosexual,No,Man (including Trans Male/Trans Man),No,48,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
655b9b478f83d9698c3512ba,62,APPROVED,2023-11-20T17:45:43.991000Z,2023-11-20T18:34:51.176000Z,2023-11-28T17:09:48.481000Z,2023-11-20T18:34:51.584759Z,2948,NOCODE,596,heterosexual,No,Man (including Trans Male/Trans Man),No,21,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
655b9b4afc73fe17fe3d7738,63,APPROVED,2023-11-20T17:45:55.603000Z,2023-11-20T18:16:12.289000Z,2023-11-28T16:14:47.395000Z,2023-11-20T18:16:12.738315Z,1817,NOCODE,1773,heterosexual,No,Man (including Trans Male/Trans Man),No,55,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
655b9b4b0252072877c73962,64,APPROVED,2023-11-20T17:45:47.732000Z,2023-11-20T18:11:13.692000Z,2023-11-28T17:09:51.848000Z,2023-11-20T18:11:14.269973Z,1526,NOCODE,1,heterosexual,No,Man (including Trans Male/Trans Man),No,18,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
655b9ef36ac8a6dbc87ee21a,65,APPROVED,2023-11-20T18:01:36.698000Z,2023-11-20T18:16:55.617000Z,2023-11-28T17:09:58.675000Z,2023-11-20T18:16:56.125190Z,919,NOCODE,1765,heterosexual,No,Man (including Trans Male/Trans Man),No,35,Male,White,United States,Germany,Germany,German,No,Full-Time
655ba1531f9d4f0743666031,66,APPROVED,2023-11-20T18:12:06.937000Z,2023-11-20T18:50:18.454000Z,2023-11-28T17:10:04.543000Z,2023-11-20T18:50:19.151186Z,2292,NOCODE,1284,heterosexual,No,Man (including Trans Male/Trans Man),No,37,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
655ba2a24e87082dfb88cf01,67,APPROVED,2023-11-20T18:17:06.599000Z,2023-11-20T18:56:01.446000Z,2023-11-28T17:10:06.694000Z,2023-11-20T18:56:02.006935Z,2335,NOCODE,868,heterosexual,No,Man (including Trans Male/Trans Man),No,33,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
655ba5a8d65ce3e353713a8d,68,APPROVED,2023-11-20T18:30:00.638000Z,2023-11-20T18:52:02.654000Z,2023-11-28T17:10:16.253000Z,2023-11-20T18:52:03.129143Z,1323,NOCODE,768,heterosexual,No,Man (including Trans Male/Trans Man),No,28,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
655ba6da34f4ae4c98a1eb0e,69,APPROVED,2023-11-20T18:41:49.463000Z,2023-11-20T19:24:47.098000Z,2023-11-28T17:10:19.512000Z,2023-11-20T19:24:47.623354Z,2578,NOCODE,651,heterosexual,No,Man (including Trans Male/Trans Man),No,46,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
655ba7200927b99d3f740b5b,70,APPROVED,2023-11-20T18:36:20.664000Z,2023-11-20T19:13:35.996000Z,2023-11-28T17:10:17.770000Z,2023-11-20T19:13:36.513418Z,2236,NOCODE,1433,heterosexual,No,Man (including Trans Male/Trans Man),No,33,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
655ba9442473b1dff81b1575,71,APPROVED,2023-11-20T18:45:27.713000Z,2023-11-20T19:27:54.558000Z,2023-11-28T17:10:20.698000Z,2023-11-20T19:27:55.077148Z,2547,NOCODE,87,heterosexual,No,Man (including Trans Male/Trans Man),No,49,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
655babd0e41775efed60b46d,72,APPROVED,2023-11-20T18:56:45.962000Z,2023-11-20T19:31:37.615000Z,2023-11-28T17:10:21.926000Z,2023-11-20T19:31:38.096724Z,2092,NOCODE,1035,heterosexual,No,Man (including Trans Male/Trans Man),No,34,Male,White,Greece,Greece,Greece,Greek,No,Part-Time
655bad1223cc486f98f8615f,73,APPROVED,2023-11-20T19:01:38.714000Z,2023-11-20T19:45:03.074000Z,2023-11-28T17:10:23.059000Z,2023-11-20T19:45:03.610450Z,2605,NOCODE,90,heterosexual,No,Man (including Trans Male/Trans Man),No,47,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
655bad680b52dd203d1951ce,74,APPROVED,2023-11-20T19:08:09.115000Z,2023-11-20T19:27:11.596000Z,2023-11-28T17:10:25.805000Z,2023-11-20T19:27:12.094543Z,1143,NOCODE,41,heterosexual,No,Man (including Trans Male/Trans Man),No,21,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
655bae68c33abe0ffe71d7ca,75,APPROVED,2023-11-20T19:07:30.806000Z,2023-11-20T19:32:31.455000Z,2023-11-28T17:10:24.739000Z,2023-11-20T19:32:32.570366Z,1501,NOCODE,689,heterosexual,No,Man (including Trans Male/Trans Man),No,33,Male,Asian,Bangladesh,Hungary,Bangladesh,Bengali,Yes,Full-Time
655baf656f7483f268759fdb,76,APPROVED,2023-11-20T19:13:05.886000Z,2023-11-20T19:50:49.635000Z,2023-11-28T17:10:28.317000Z,2023-11-20T19:50:50.226906Z,2264,NOCODE,748,heterosexual,No,Man (including Trans Male/Trans Man),No,34,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
655bb0e6885193f677e76082,77,APPROVED,2023-11-20T19:17:58.092000Z,2023-11-20T20:10:11.696000Z,2023-11-28T17:10:31.148000Z,2023-11-20T20:10:12.235116Z,3134,NOCODE,40,heterosexual,No,Man (including Trans Male/Trans Man),No,24,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
655bb782fa09693cb8cbf166,78,APPROVED,2023-11-20T19:46:10.479000Z,2023-11-20T20:55:38.142000Z,2023-11-28T17:10:33.930000Z,2023-11-20T20:55:38.825812Z,4168,NOCODE,80,heterosexual,No,Man (including Trans Male/Trans Man),No,29,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
655bc1ccac408c78ea2b1022,79,APPROVED,2023-11-20T20:30:04.584000Z,2023-11-20T21:00:59.393000Z,2023-11-28T17:10:12.844000Z,2023-11-20T21:00:59.953805Z,1855,NOCODE,2280,heterosexual,No,Man (including Trans Male/Trans Man),No,32,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
65670f63eb609084170d73be,80,APPROVED,2023-11-29T10:21:26.096000Z,2023-11-29T10:50:52.844000Z,2023-12-07T16:22:10.806000Z,2023-11-29T10:50:54.447340Z,1767,NOCODE,279,heterosexual,No,Man (including Trans Male/Trans Man),No,25,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
65688c0d7853fa822965789c,81,APPROVED,2023-11-30T13:20:13.182000Z,2023-11-30T13:53:10.809000Z,2023-12-07T16:26:29.145000Z,2023-11-30T13:53:11.524017Z,1978,NOCODE,382,heterosexual,No,Man (including Trans Male/Trans Man),No,29,Male,White,Turkey,Poland,Turkey,Turkish,No,Full-Time
655b8f167dafc71a2b38042b,82,RETURNED,2023-11-20T16:53:42.499000Z,,,,,,503,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655b8f24a265dbb770c8a0a6,83,REJECTED,2023-11-20T16:54:32.524000Z,2023-11-20T17:37:51.639000Z,2023-11-29T10:12:49.103000Z,2023-11-20T17:37:52.417000Z,2600,NOCODE,191,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
