Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6564af8c9b4dfd2c6dc29f98,79,APPROVED,2023-11-27T15:02:36.156000Z,2023-11-27T15:20:47.980000Z,2023-11-28T17:10:52.219000Z,2023-11-27T15:20:48.469369Z,1092,CHXXFLVG,2303,32,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
6564af8c19e03f9bdc5f2794,73,APPROVED,2023-11-27T15:02:36.337000Z,2023-11-27T15:59:23.770000Z,2023-11-28T17:10:55.661000Z,2023-11-27T15:59:24.248701Z,3408,NOCODE,105,47,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6564af8e2b1c0407c21c8c19,64,APPROVED,2023-11-27T15:02:38.175000Z,2023-11-27T15:48:30.558000Z,2023-11-28T17:10:58.673000Z,2023-11-27T15:48:31.062129Z,2753,CHXXFLVG,6,18,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
6564af8f02904bdb31830025,62,APPROVED,2023-11-27T15:02:39.912000Z,2023-11-27T15:58:45.424000Z,2023-11-28T17:11:00.904000Z,2023-11-27T15:58:45.933022Z,3366,NOCODE,607,21,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6564af90d013178abaebf9b6,71,APPROVED,2023-11-27T15:02:42.768000Z,2023-11-27T15:45:35.656000Z,2023-11-28T17:11:05.287000Z,2023-11-27T15:45:36.194806Z,2573,CHXXFLVG,98,49,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6564af90d32c13167761634a,68,APPROVED,2023-11-27T15:02:40.577000Z,2023-11-27T15:54:51.905000Z,2023-11-28T17:11:03.254000Z,2023-11-27T15:54:52.533390Z,3132,Study does not work,777,28,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
6564af90d013178abaebf9b8,74,APPROVED,2023-11-27T15:09:16.158000Z,2023-11-27T15:24:21.805000Z,2023-11-28T17:11:21.020000Z,2023-11-27T15:24:22.282741Z,906,CHXXFLVG,45,21,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking)
6564af979e47eeeb4a2bab2b,77,APPROVED,2023-11-27T15:02:47.942000Z,2023-11-27T15:59:17.853000Z,2023-11-28T17:11:07.797000Z,2023-11-27T15:59:18.520177Z,3390,NOCODE,49,24,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6564af9bd32c13167761634d,69,APPROVED,2023-11-27T15:04:49.113000Z,2023-11-27T15:55:30.242000Z,2023-11-28T17:11:17.654000Z,2023-11-27T15:55:30.731776Z,3042,CHXXFLVG,654,46,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6564afb2f4b1bd9ae5b73663,67,APPROVED,2023-11-27T15:03:18.256000Z,2023-11-27T16:02:47.086000Z,2023-11-28T17:11:10.368000Z,2023-11-27T16:02:47.508151Z,3569,CHXXFLVG,876,33,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
6564afe69e58a4504f5ee728,75,APPROVED,2023-11-27T15:04:05.998000Z,2023-11-27T15:54:36.135000Z,2023-11-28T17:11:12.933000Z,2023-11-27T15:54:36.742695Z,3031,CHXXFLVG,696,33,Male,Asian,Bangladesh,Hungary,Bangladesh,Bengali,Yes,Full-Time
6564afec226de4d55e9ebf0d,72,APPROVED,2023-11-27T15:04:25.363000Z,2023-11-27T15:31:45.212000Z,2023-11-28T17:11:16.284000Z,2023-11-27T15:31:45.693097Z,1640,CHXXFLVG,1043,34,Male,White,Greece,Greece,Greece,Greek,No,Part-Time
6564b011d4f77c33972594b4,76,APPROVED,2023-11-27T15:04:57.723000Z,2023-11-27T15:45:29.843000Z,2023-11-28T17:11:19.577000Z,2023-11-27T15:45:30.744703Z,2433,CHXXFLVG,754,34,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
6564b126e99283ccc6c25505,61,APPROVED,2023-11-27T15:10:05.387000Z,2023-11-27T16:20:46.332000Z,2023-11-28T17:11:22.794000Z,2023-11-27T16:20:46.780245Z,4241,NOCODE,1327,48,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
6564b1989b4dfd2c6dc2a046,65,APPROVED,2023-11-27T15:11:20.615000Z,2023-11-27T15:46:13.116000Z,2023-11-28T17:11:25.446000Z,2023-11-27T15:46:13.560909Z,2093,CHXXFLVG,1788,35,Male,White,United States,Germany,Germany,German,No,Full-Time
6564b70fae1883342aff431b,70,APPROVED,2023-11-27T15:35:12.970000Z,2023-11-27T16:06:22.724000Z,2023-11-28T17:11:29.257000Z,2023-11-27T16:06:23.142062Z,1870,CHXXFLVG,1443,33,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
6564b915f38539aaa577672d,58,APPROVED,2023-11-27T15:43:17.285000Z,2023-11-27T16:01:54.878000Z,2023-11-28T17:11:32.429000Z,2023-11-27T16:01:55.336143Z,1118,CHXXFLVG,428,44,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6564be6a8f794bf1617e2868,78,APPROVED,2023-11-27T16:06:02.006000Z,2023-11-27T16:21:38.912000Z,2023-11-28T17:11:33.929000Z,2023-11-27T16:21:39.573733Z,937,CHXXFLVG,88,29,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
6564c225737e79b9e40cc33c,66,APPROVED,2023-11-27T16:22:09.686000Z,2023-11-27T16:43:23.702000Z,2023-11-28T17:11:35.422000Z,2023-11-27T16:43:24.228443Z,1275,CHXXFLVG,1289,37,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
6564c9bf710403ee3db8812e,63,APPROVED,2023-11-27T16:54:23.623000Z,2023-11-27T17:27:12.735000Z,2023-11-28T16:15:08.812000Z,2023-11-27T17:27:13.292774Z,1970,CHXXFLVG,1789,55,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
6564f495de4976d2bd35bfac,60,APPROVED,2023-11-27T19:57:12.957000Z,2023-11-27T20:21:39.651000Z,2023-11-28T17:11:36.547000Z,2023-11-27T20:21:40.242836Z,1467,CHXXFLVG,989,26,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time
656594d2d48bb6bd55b14c4b,59,APPROVED,2023-11-28T07:20:50.900000Z,2023-11-28T07:42:05.773000Z,2023-11-28T17:11:38.679000Z,2023-11-28T07:42:07.460355Z,1275,CHXXFLVG,262,33,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
65707bec14d098a234985190,80,APPROVED,2023-12-06T13:49:40.304000Z,2023-12-06T15:28:27.303000Z,2023-12-07T16:22:48.690000Z,2023-12-06T15:28:27.736721Z,5927,CHXXFLVG,279,25,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
6571d8325c2c342148ed5919,81,APPROVED,2023-12-07T14:35:32.953000Z,2023-12-07T14:49:15.115000Z,2023-12-07T16:26:36.994000Z,2023-12-07T14:49:15.842348Z,823,CHXXFLVG,386,29,Male,White,Turkey,Poland,Turkey,Turkish,No,Full-Time
6564b53feceaf246a4123fc9,83,REJECTED,2023-11-27T15:27:03.356000Z,2023-11-27T15:56:54.399000Z,2023-11-29T10:18:01.709000Z,2023-11-27T15:56:55.194000Z,1792,CHXXFLVG,191,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6564b7535033fb203ab0ae5f,87,REJECTED,2023-11-27T15:37:12.679000Z,2023-11-27T16:22:26.434000Z,2023-11-30T10:32:12.787000Z,2023-11-27T16:22:27.169000Z,2714,CHXXFLVG,165,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
