User,Consent,Consent Time,Last Login,Stage,Phase 1 Finished,Phase 2 Unlocks,Phase 2 Started,Personal Experience,What gender are you currently?,Gender Identities,Differ at Birth,Sexuality,Other Sexuality,Country,English First Language,Feedback - Phase One,Feedback - Phase Two,Gender Terms,Gender Terms Why,Sexuality Terms,Sexuality Terms Why,Phase 2 Finished,Live
10,1,29/11/2023 10:39,07/12/2023,3,29/11/2023 11:15,06/12/2023 11:12,07/12/2023 12:47,"personally,witnessed",non-binary,"man, non-binary, demiman",yes,Bisexual,,France,no,"It's hard to form an opinion on some quotes without context. Often we use sexual terms but it's for an insult, not to say something about gender. What is the best option in the responses ? It mention gender or sexuality but it's not related to the message (bitch, suck smth, ect).","it feels weird to select words for gender or sexuality, but not for hate speach. It is difficult to know the gender of the persons in the text except when they are famous people. Some words or insults are often used out of context and far from their original meaning.",not-useful,"I already knew the words, or went to search them on the first part of the study.",not-useful,"I already knew the words, or went to search them on the first part of the study.",07/12/2023 13:13,1
63,1,20/11/2023 17:47,27/11/2023,3,20/11/2023 18:13,27/11/2023 06:11,27/11/2023 16:55,"personally,witnessed",man,man,no,Heterosexual,,Italy,no,,"very slangy phrases, often very offensive and often with many spelling or typing errors",useful,I didn't know the meaning of some words,useful,I didn't know the meaning of some words,27/11/2023 17:27,1
39,1,06/12/2023 16:36,13/12/2023,3,06/12/2023 17:10,13/12/2023 05:12,13/12/2023 13:58,"personally,witnessed",man,man,no,Bisexual,,Italy,yes,"I hope my work was useful for you, have a great day!",Definitions were a useful addition.,useful,I used them a couple times to understand some terms better in the given context.,very-useful,I used them to understand some terms better in the given context.,13/12/2023 14:12,1
76,1,20/11/2023 19:17,27/11/2023,3,20/11/2023 19:49,27/11/2023 07:11,27/11/2023 15:05,unsure,man,man,no,Heterosexual,,Poland,no,,,not-useful,"They seemed to highlight the key words that i would fill in. It provided a useful definitions especially to the less commonly known terms (""nazbol""). The gendered terms were fairly simple so the usefulness of the definitions was limited, there is no need to explain what 'her' or 'she' means.",useful,"This terms were a bit more complicated and niche so the definitions were a bit more useful. The definitions provided the exact meaning to the words, so you could always see what precisely the word mean when you aren't 100 percent sure.",27/11/2023 15:44,1
31,1,06/12/2023 13:58,13/12/2023,3,06/12/2023 14:57,13/12/2023 02:12,13/12/2023 15:20,witnessed,man,man,no,Other sexual orientation,Pansexual,Portugal,no,,,useful,"Some definitions were useful like ""Toms"" for example, others were misleading and not relevant to some of the posts content.",useful,"Some definitions were useful, others were misleading and not relevant to some of the posts content like the highlight ""Aunti"" where in the post it said ""Auntie"" because it was referring to an older woman.",13/12/2023 15:47,1
29,1,06/12/2023 13:24,13/12/2023,3,06/12/2023 13:54,13/12/2023 01:12,13/12/2023 13:42,"personally,witnessed",man,man,no,Homosexual,,South Africa,yes,,Great study - much better than phase 1.,very-useful,Helped with understanding.,very-useful,Helped with understanding.,13/12/2023 13:58,1
41,1,06/12/2023 16:57,13/12/2023,3,06/12/2023 17:10,13/12/2023 05:12,13/12/2023 16:00,"personally,witnessed",man,man,no,Bisexual,,UK,yes,,None,useful,Gave the ability to clarify when unsure,useful,Gave the ability to clarify when unsure,13/12/2023 16:11,1
104,1,04/12/2023 14:39,11/12/2023,3,04/12/2023 14:53,11/12/2023 02:12,11/12/2023 17:31,unsure,woman,woman,no,Heterosexual,,UK,yes,,,not-useful,I knew what they meant,not-useful,I knew what they meant,11/12/2023 17:43,1
100,1,04/12/2023 10:58,11/12/2023,3,04/12/2023 11:21,11/12/2023 11:12,11/12/2023 11:14,witnessed,woman,woman,no,Heterosexual,,1980,yes,"Well, this has been quite challenging, please, next time, provide more examples on how you want us to do the task. Our answers can be controversial if you don't set boundaries of what you consider hate speech referred to sexuality and or gender. Thank you and have a great week!",The study is challenging and stimulates my thinking.,not-useful,"You provided the definitions of the easy words, you failed to provide the definitions of the complex ones.",not-useful,"I already knew those terms, I didn't need any extra explainations to understand what gay or she refers to.",11/12/2023 11:38,1
24,1,06/11/2023 17:57,14/11/2023,3,06/11/2023 18:21,13/11/2023 06:11,14/11/2023 15:18,witnessed,woman,woman,yes,Homosexual,,poland,no,,oh please dont make this window reset when i wanted to double check a question,not-useful,i knew them + some were misleading (either not needed in context or plain wrong like liberals or pubes),not-useful,i knew them + some were misleading (either not needed in context or plain wrong like liberals or pubes),14/11/2023 15:46,1
61,1,20/11/2023 17:24,27/11/2023,3,20/11/2023 18:33,27/11/2023 06:11,27/11/2023 15:11,"personally,witnessed",man,man,no,Bisexual,,MEXICO,no,I Think It Would Be Better To Evaluate Phrases From 1 To 10 How Hateful Or Sexual We Find The Message. And Every Time We See These Words More Normally on Social Networks.,"The Study is Good. Although I think that the way we can measure which words we consider gender or sexual can be changed. I think the country, the culture, even the age can change. Twitter Now X Is The One I See The Most Gender or Sexual Words.",very-useful,Yeah. Because there are words that I didn't have much knowledge of.,very-useful,Yeah. Because there are words that I didn't have much knowledge of.,27/11/2023 16:32,1
