Concept,URL,Definition,Source
adulteress,https://dictionary.cambridge.org/dictionary/english/adulteress,,Cambridge Thesaurus
babies,https://dictionary.cambridge.org/dictionary/english/baby?q=babies,,Cambridge Thesaurus
baldy,https://dictionary.cambridge.org/dictionary/english/baldy,,Cambridge Thesaurus
balls,https://dictionary.cambridge.org/dictionary/english/balls,,Cambridge Thesaurus
bastard,https://dictionary.cambridge.org/dictionary/english/bastard,,Cambridge Thesaurus
bloke,https://dictionary.cambridge.org/dictionary/english/bloke,,Cambridge Thesaurus
bruh,https://dictionary.cambridge.org/dictionary/english/bruh,,Cambridge Thesaurus
brusband,https://www.urbandictionary.com/define.php?term=Brusband,"A slang term used in the Will & Grace sitcom to describe a non-heterosexual marriage, wherein the standard terms ""husband"" and ""wife"" do not necessarily fully describe the relationship between the two people being united. Could be applied to male, female, or transexual couples.",Dictionary
bunny,https://www.collinsdictionary.com/dictionary/english/bunny,"A rabbit. In US, could also be a slang term referring to a sexually attractive young woman.",Dictionary
chick,https://dictionary.cambridge.org/dictionary/english/chink,an extremely offensive word for a Chinese person or someone who is thought to be Chinese,Cambridge Thesaurus
chink,https://dictionary.cambridge.org/dictionary/english/chink,,Cambridge Thesaurus
cock,https://dictionary.cambridge.org/dictionary/english/cock,a rude word for a penis,Cambridge Thesaurus
coon,https://dictionary.cambridge.org/dictionary/english/coon,,Cambridge Thesaurus
crackwhore,"https://en.wiktionary.org/wiki/crack_whore#:~:text=crack%20whore%20(plural%20crack%20whores,sexually%20promiscuous%20or%20adulterous%20woman","Vulgar, slang, derogatory term to refer to any sexually promiscuous or adulterous woman",Wiktionary
date,https://dictionary.cambridge.org/dictionary/english/date,,Cambridge Thesaurus
dick,https://dictionary.cambridge.org/dictionary/english/dick,A rude word for a penis,Cambridge Thesaurus
dom,https://www.dictionary.com/browse/-dom,"a dominant in a BDSM sexual encounter or relationship. BDSM is a way of having sex in which one partner plays a dominant role, while the other is more submissive.",Dictionary
dude,https://dictionary.cambridge.org/dictionary/english/dude,,Cambridge Thesaurus
